Date,Open,High,Low,Close
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,63000.00000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,62999.99000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,62999.99000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,62999.99000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,63000.00000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,62999.99000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,63000.00000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,62999.99000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,63000.00000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,62999.99000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,63001.98000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,63001.99000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,63001.99000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,63001.99000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,63002.00000000
2024-07-15 08:30,62999.99000000,63050.01000000,62992.00000000,63002.00000000
2024-07-15 08:33,63001.99000000,63002.00000000,63001.99000000,63001.99000000
2024-07-15 08:33,63001.99000000,63002.00000000,63001.98000000,63001.98000000
2024-07-15 08:33,63001.99000000,63002.00000000,62992.01000000,62992.01000000
2024-07-15 08:33,63001.99000000,63002.00000000,62992.01000000,62992.02000000
2024-07-15 08:33,63001.99000000,63002.00000000,62992.01000000,62992.02000000
2024-07-15 08:33,63001.99000000,63002.00000000,62992.01000000,62992.01000000
2024-07-15 08:33,63001.99000000,63002.00000000,62992.01000000,62992.01000000
2024-07-15 08:33,63001.99000000,63002.00000000,62992.01000000,62992.01000000
2024-07-15 08:33,63001.99000000,63002.00000000,62992.01000000,62992.02000000
2024-07-15 08:33,63001.99000000,63002.00000000,62992.01000000,62992.02000000
2024-07-15 08:33,63001.99000000,63002.00000000,62992.01000000,62992.01000000
2024-07-15 08:33,63001.99000000,63002.00000000,62992.01000000,62992.01000000
2024-07-15 08:33,63001.99000000,63002.00000000,62992.01000000,62992.02000000
2024-07-15 08:33,63001.99000000,63002.00000000,62992.01000000,62992.02000000
2024-07-15 08:33,63001.99000000,63002.00000000,62992.01000000,62992.01000000
2024-07-15 08:33,63001.99000000,63002.00000000,62980.57000000,62980.58000000
2024-07-15 08:33,63001.99000000,63002.00000000,62980.57000000,62980.57000000
2024-07-15 08:33,63001.99000000,63002.00000000,62980.57000000,62980.58000000
2024-07-15 08:33,63001.99000000,63002.00000000,62980.57000000,62980.57000000
2024-07-15 08:33,63001.99000000,63002.00000000,62980.57000000,62980.57000000
2024-07-15 08:33,63001.99000000,63002.00000000,62971.88000000,62971.89000000
2024-07-15 08:33,63001.99000000,63002.00000000,62971.88000000,62971.89000000
2024-07-15 08:33,63001.99000000,63002.00000000,62971.88000000,62971.89000000
2024-07-15 08:33,63001.99000000,63002.00000000,62966.00000000,62966.01000000
2024-07-15 08:33,63001.99000000,63002.00000000,62966.00000000,62966.01000000
2024-07-15 08:33,63001.99000000,63002.00000000,62966.00000000,62966.00000000
2024-07-15 08:33,63001.99000000,63002.00000000,62966.00000000,62966.00000000
2024-07-15 08:33,63001.99000000,63002.00000000,62962.41000000,62962.41000000
2024-07-15 08:33,63001.99000000,63002.00000000,62962.41000000,62962.41000000
2024-07-15 08:33,63001.99000000,63002.00000000,62960.72000000,62960.73000000
2024-07-15 08:33,63001.99000000,63002.00000000,62960.72000000,62960.72000000
2024-07-15 08:33,63001.99000000,63002.00000000,62956.35000000,62956.35000000
2024-07-15 08:33,63001.99000000,63002.00000000,62952.01000000,62952.01000000
2024-07-15 08:33,63001.99000000,63002.00000000,62952.01000000,62952.01000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62943.76000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62956.00000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62955.99000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62955.99000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62962.00000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62965.03000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62965.03000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62957.71000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62957.71000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62953.44000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62944.01000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62945.64000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62945.64000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62945.64000000
2024-07-15 08:33,63001.99000000,63002.00000000,62943.75000000,62945.63000000
